name	is_canonical
ENSG00000000003	True
ENSG00000000005	True
ENSG00000000419	True
ENSG00000000457	True
ENSG00000000460	True
ENSG00000000938	True
ENSG00000000971	True
ENSG00000001036	True
ENSG00000001084	True
ENSG00000001167	True
ENSG00000001460	True
ENSG00000001461	True
ENSG00000001497	True
ENSG00000001561	True
ENSG00000001617	True
ENSG00000001626	True
ENSG00000001629	True
ENSG00000001630	True
ENSG00000001631	True
ENSG00000002016	True
ENSG00000002079	True
ENSG00000002330	True
ENSG00000002549	True
ENSG00000002586	True
ENSG00000002587	True
ENSG00000002726	True
ENSG00000002745	True
ENSG00000002746	True
ENSG00000002822	True
ENSG00000002834	True
ENSG00000002919	True
ENSG00000002933	True
ENSG00000003056	True
ENSG00000003096	True
ENSG00000003137	True
ENSG00000003147	True
ENSG00000003249	True
ENSG00000003393	True
ENSG00000003400	True
ENSG00000003402	True
ENSG00000003436	True
ENSG00000003509	True
ENSG00000003756	True
ENSG00000003987	True
ENSG00000003989	True
ENSG00000004059	True
ENSG00000004139	True
ENSG00000004142	True
ENSG00000004399	True
ENSG00000004455	True
ENSG00000004468	True
ENSG00000004478	True
ENSG00000004487	True
ENSG00000004534	True
ENSG00000004660	True
ENSG00000004700	True
ENSG00000004766	True
ENSG00000004776	True
ENSG00000004777	True
ENSG00000004779	True
ENSG00000004799	True
ENSG00000004809	True
ENSG00000004838	True
ENSG00000004846	True
ENSG00000004848	True
ENSG00000004864	True
ENSG00000004866	True
ENSG00000004897	True
ENSG00000004939	True
ENSG00000004948	True
ENSG00000004961	True
ENSG00000004975	True
ENSG00000005001	True
ENSG00000005007	True
ENSG00000005020	True
ENSG00000005022	True
ENSG00000005059	True
ENSG00000005073	True
ENSG00000005075	True
ENSG00000005100	True
ENSG00000005102	True
ENSG00000005108	True
ENSG00000005156	True
ENSG00000005175	True
ENSG00000005187	True
ENSG00000005189	True
ENSG00000005194	True
ENSG00000005206	True
ENSG00000005238	True
ENSG00000005243	True
ENSG00000005249	True
ENSG00000005302	True
ENSG00000005339	True
ENSG00000005379	True
ENSG00000005381	True
ENSG00000005421	True
ENSG00000005436	True
ENSG00000005448	True
ENSG00000005469	True
ENSG00000005471	True
ENSG00000005483	True
ENSG00000005486	True
ENSG00000005513	True
ENSG00000005700	True
ENSG00000005801	True
ENSG00000005810	True
ENSG00000005812	True
ENSG00000005844	True
ENSG00000005882	True
ENSG00000005884	True
ENSG00000005889	True
ENSG00000005893	True
ENSG00000005961	True
ENSG00000005981	True
ENSG00000006007	True
ENSG00000006015	True
ENSG00000006016	True
ENSG00000006025	True
ENSG00000006042	True
ENSG00000006047	True
ENSG00000006059	True
ENSG00000006062	True
ENSG00000006071	True
ENSG00000006116	True
ENSG00000006118	True
ENSG00000006125	True
ENSG00000006128	True
ENSG00000006194	True
ENSG00000006210	True
ENSG00000006282	True
ENSG00000006283	True
ENSG00000006327	True
ENSG00000006377	True
ENSG00000006432	True
ENSG00000006451	True
ENSG00000006453	True
ENSG00000006459	True
ENSG00000006468	True
ENSG00000006530	True
ENSG00000006534	True
ENSG00000006555	True
ENSG00000006576	True
ENSG00000006606	True
ENSG00000006607	True
ENSG00000006611	True
ENSG00000006625	True
ENSG00000006634	True
ENSG00000006638	True
ENSG00000006652	True
ENSG00000006659	True
ENSG00000006695	True
ENSG00000006704	True
ENSG00000006712	True
ENSG00000006715	True
ENSG00000006740	True
ENSG00000006744	True
ENSG00000006747	True
ENSG00000006756	True
ENSG00000006757	True
ENSG00000006788	True
ENSG00000006831	True
ENSG00000006837	True
ENSG00000007001	True
ENSG00000007038	True
ENSG00000007047	True
ENSG00000007062	True
ENSG00000007080	True
ENSG00000007129	True
ENSG00000007168	True
ENSG00000007171	True
ENSG00000007174	True
ENSG00000007202	True
ENSG00000007216	True
ENSG00000007237	True
ENSG00000007255	True
ENSG00000007264	True
ENSG00000007306	True
ENSG00000007312	True
ENSG00000007314	True
ENSG00000007341	True
ENSG00000007350	True
ENSG00000007372	True
ENSG00000007376	True
ENSG00000007384	True
ENSG00000007392	True
ENSG00000007402	True
ENSG00000007516	True
ENSG00000007520	True
ENSG00000007541	True
ENSG00000007545	True
ENSG00000007866	True
ENSG00000007908	True
ENSG00000007923	True
ENSG00000007933	True
ENSG00000007944	True
ENSG00000007952	True
ENSG00000007968	True
ENSG00000008018	True
ENSG00000008056	True
ENSG00000008083	True
ENSG00000008086	True
ENSG00000008118	True
