name	is_canonical
ENSMUSG00000000001	True
ENSMUSG00000000003	True
ENSMUSG00000000028	True
ENSMUSG00000000031	True
ENSMUSG00000000037	True
ENSMUSG00000000049	True
ENSMUSG00000000056	True
ENSMUSG00000000058	True
ENSMUSG00000000078	True
ENSMUSG00000000085	True
ENSMUSG00000000088	True
ENSMUSG00000000093	True
ENSMUSG00000000094	True
ENSMUSG00000000103	True
ENSMUSG00000000120	True
ENSMUSG00000000125	True
ENSMUSG00000000126	True
ENSMUSG00000000127	True
ENSMUSG00000000131	True
ENSMUSG00000000134	True
ENSMUSG00000000142	True
ENSMUSG00000000148	True
ENSMUSG00000000149	True
ENSMUSG00000000154	True
ENSMUSG00000000157	True
ENSMUSG00000000159	True
ENSMUSG00000000167	True
ENSMUSG00000000168	True
ENSMUSG00000000171	True
ENSMUSG00000000182	True
ENSMUSG00000000183	True
ENSMUSG00000000184	True
ENSMUSG00000000194	True
ENSMUSG00000000197	True
ENSMUSG00000000202	True
ENSMUSG00000000204	True
ENSMUSG00000000214	True
ENSMUSG00000000215	True
ENSMUSG00000000216	True
ENSMUSG00000000223	True
ENSMUSG00000000244	True
ENSMUSG00000000247	True
ENSMUSG00000000248	True
ENSMUSG00000000253	True
ENSMUSG00000000263	True
ENSMUSG00000000266	True
ENSMUSG00000000275	True
ENSMUSG00000000276	True
ENSMUSG00000000278	True
ENSMUSG00000000282	True
ENSMUSG00000000290	True
ENSMUSG00000000295	True
ENSMUSG00000000296	True
ENSMUSG00000000301	True
ENSMUSG00000000303	True
ENSMUSG00000000305	True
ENSMUSG00000000308	True
ENSMUSG00000000317	True
ENSMUSG00000000318	True
ENSMUSG00000000320	True
ENSMUSG00000000326	True
ENSMUSG00000000339	True
ENSMUSG00000000340	True
ENSMUSG00000000346	True
ENSMUSG00000000355	True
ENSMUSG00000000359	True
ENSMUSG00000000365	True
ENSMUSG00000000374	True
ENSMUSG00000000378	True
ENSMUSG00000000381	True
ENSMUSG00000000385	True
ENSMUSG00000000386	True
ENSMUSG00000000392	True
ENSMUSG00000000394	True
ENSMUSG00000000399	True
ENSMUSG00000000402	True
ENSMUSG00000000409	True
ENSMUSG00000000411	True
ENSMUSG00000000416	True
ENSMUSG00000000420	True
ENSMUSG00000000435	True
ENSMUSG00000000439	True
ENSMUSG00000000440	True
ENSMUSG00000000441	True
ENSMUSG00000000486	True
ENSMUSG00000000489	True
